BF	No_of_unique_perms
01011101	6
00000010	3
00110111	3
11111011	3
11010000	6
01001100	3
11101010	3
10001110	3
00101111	6
00000111	3
11101000	1
00001011	6
10110010	3
11111000	3
00010000	3
00001110	3
11110001	3
01110000	3
00001101	6
10101000	3
11001000	3
10001010	6
01010100	3
00010101	3
00111011	6
00101010	3
01010111	3
11111101	3
01111111	1
00000001	1
01110101	6
10111010	6
11010100	3
01001111	6
01001101	3
10001100	6
00100011	6
10110000	6
01110001	3
10001111	3
00010111	1
00110010	3
01110011	6
11011100	6
11110100	6
11010101	3
11101100	3
01000000	3
10111111	3
10101011	3
11000100	6
00001000	3
10110011	3
10100010	6
01010001	6
00110001	6
00010011	3
11110111	3
10000000	1
00100000	3
00011111	3
11001101	3
11100000	3
11011111	3
00101011	3
01000101	6
11001110	6
11110010	6
11101111	3
00000100	3
11111110	1
10101110	6
