BF	No_of_unique_perms
11101110110011001110101011000000	30
11110000111100001000000011000000	120
11011100110111011100110011001100	120
11111111001000111111111100000011	60
11000100000000000100010000000000	30
01010000011100110000000000110011	30
00111111001011110010111100101111	60
10001010101010101000101010001010	120
10101010101010101111111011111010	60
10101111100011001010111110101111	60
00100010001100100011001000110010	60
01010101010101010101010100010101	30
00011111000011110101111101011111	120
00000000000000001111111100001110	60
01001100010111110101111101011111	30
00001100000011001000110011001100	120
00000000110111010000111111011111	60
11011101110111001100110011001100	60
01000100000001001111111100001111	120
11010101000000000000000000000000	30
00000000000000000100110011111111	60
11110111111101111111011111111111	30
01110111011100000111000001110000	30
11001100110011001100000011000100	30
01010101010101010000000001000101	120
01111111111111110101111101011111	30
00000000001011110010111100101111	60
10001010110011111000100011001100	120
11110011111110110011001100110011	120
11111111110111011111000011010000	30
11110010111100110000000000000000	120
10101010101010001010101010001000	30
00000000000000001110111111111111	30
11111111000011111000111100001111	60
10111011101100111010101010100000	60
11111100110011001111110011101100	120
00001111000001001111111111111111	120
01110111011101110111011100110111	60
11011101110011011100110011001100	120
11111111000000001010101100000000	30
00000000000000001111110011111101	30
11111111111111110001000100010000	30
11110100111111110100010001000100	120
00000000000000001000100010001010	60
11111111000001010011011100000101	60
11110000111111110010000000100010	120
00001111000011110010111100001111	30
10000000100010001010101010101010	120
00000000000000001000101000000000	60
00010000000000000001000100010001	30
01110111111111110111111111111111	10
01001100010011000100110000000000	30
10101110111111111010101011111111	60
11111111111111111110101010101010	10
01000100010001010100010001010101	60
00001111000011110000101100000011	60
11110111111101111111011100110011	60
11111111111111111111110111011101	30
10101010101010101010100000000000	60
11001100111011101100110011101100	60
00110000001000000011001100100010	60
00001111001111110000010100110111	60
00000101010101010000011101110111	30
00000000000000001000100010101000	120
11000000111000000000000010100000	60
10101010111111110010101011111111	60
00110000001100000011000001110000	20
01011111010111110001001101011111	30
11111111000000000000111000000000	60
11101100111111001100110011001100	60
10111111001111110011111100111111	10
11001110111111110000000011111111	120
11111111111111110000000011000100	120
11011101010111011101110101010101	120
11110000111101110000000000000000	60
00010001000000001111000111110000	60
10101011101011111111111111111111	60
11111111110011101111111111001100	30
11111101110111010101010101010101	60
00000000000010101100110011001110	60
01010001010101010001000101010101	30
11111111110111111111111111001100	30
10100000111011001010000010100000	30
00000001001100110000000000110011	60
10111111101111111011111110111011	60
01010000010101001111111111111111	120
01010101011101010000000000110000	60
11000000111100000100000001010000	60
11001100110011011111111111111111	20
11101010101010101111111111111111	20
11111111110011011111111111001111	30
00110010000000000011001100000000	60
01010101000000001101111111001111	120
00000001000000010000000100010001	30
11011100110111001101110011001100	60
11110000111100001011000000110000	60
11111111111111110000001100000111	60
10101011000000001111111111111111	60
00001111000011111101111101011111	60
11101010111111110000000011111111	60
11111110111111111111000011111111	60
00001100000000001010111010101010	60
11001100110011000000100010001000	60
00000111000011110000010100001111	60
11111000111110101111101011111010	60
11111011111111111010101011111111	120
11111111001100001011101000110000	60
11111010111110101111101011001000	10
00000000010101010000000000010101	30
11001100111011111110111111101111	60
10111011101110110000000000001011	60
11110010001000101111001011110010	120
00000000010111110000000011011111	60
11101111000000001010101000000000	120
00110011000100000000000000000000	120
11011100110111001111110011011100	120
11111111011111110000111100001111	60
01110111000000000111001100000000	60
11111111000011111111111100000010	120
00101111001000101111111100100010	60
10101011000000001111111100000000	60
00111011101110110011001100110011	30
01111111000000000111011100000000	60
00000000000000000001111100010001	60
00000000011101110000000011110111	60
11110001000000001111000000000000	60
10101111111011111111111111111111	60
00001111111011110000000011101110	60
11001100111011101100000011100000	60
01000100010001000100010001000000	20
00000000000000000000000001110101	60
11111011111110111111101111111111	30
11111111111111110000101100000011	60
11001100111111110100110011111111	60
10111011001100111011111100111111	30
10100000111111110010000011111111	60
11110011111111111010001011111111	60
11000000110000001100010011001100	60
11001100111111110000010011111111	60
00000000000011010000000000001111	30
00001100100011000000111110101111	120
11111111000000001111111110111010	120
00100010001100110010111100111111	60
01011111010111010101111101010101	60
00100010001000100010101010101010	60
11111111111111110000000011110100	120
11000100110001001100010011110101	60
11011111000011110000000000000000	120
11001100111111000100010001010100	120
11111101010101011111111111111111	30
00000000101010100010000010101010	60
01010101011101110101000001110011	30
10101110111011101010111111111111	60
00000000000000001111010101110101	120
00000101010001010000010100000101	60
11010000111100001111111111111111	60
00000000111110000000000011111111	60
11111110110011001111101000000000	30
01010101111111110111111111111111	30
10111010101110110011000000110011	60
00000101111111110000010011111111	30
10101010101010101010101110101010	20
11101110111111100000000000000000	60
00001100000011000000110010101110	60
10100000101000000000000000100000	30
00000000000000001111111110101000	60
10100000101000001010000011101100	30
00110000000000000011000000100000	120
10101011101010100000000000000000	60
00010001000100010101000101010101	120
00000010000000100011001100000010	60
00000000111100010000000011110011	60
01000100010000001100110011001100	60
00100011000000000000001100000000	60
00000101111111110000011111111111	60
11111111111111110111001111110011	60
01110111111111110111000011110000	10
10101010101010101011101011111010	60
10110011101110110011001100110011	60
00000000000000001110111011101100	60
10101010111110101011101111111011	60
00000000000100110001001100010011	15
10111111111111111010111110101111	60
00000010000000110010001000110011	60
00001011000010110000101100000011	60
11111101111111011111110101010101	15
11111111111111011111111100000000	60
01000101010001010100010111111111	60
11001100110011100000000000000000	60
01000000010000000100010001000000	120
00110011001100110011001100000010	60
00100000001000101111000011111111	120
01010001111100110101000101010001	120
11111111101111111011101110111011	120
10001000101010101000100010101000	60
00111011000000000011111100000000	120
11110111111101111111011101110111	30
01010111010101110101011100000000	30
11111111111111111101110111001101	60
01010001010100010101010101010001	120
11001100110011001100110001000000	60
10001100111111111100110011111111	60
00111111001010101111111111111111	30
00110011001100010011001100110011	30
00000000000000001111111100111011	120
01010101110101011111010111110101	120
11011101000011011111111100001111	60
00100000001000100000000000000000	60
11001100000011001100110010001100	120
01001100000011000100010000000000	60
00000000000000001111101000110010	60
00000101000000000000000100000000	60
11111111110111011111010111010101	15
00000000000000001100111011001111	120
01000000111111110101010111111111	60
11111111111111110000110000001000	60
11111111001111111111111100101010	30
11001110111111111100111111111111	120
00000000011100110000000000110011	60
11111111111111111111111111101100	10
00100011000000000011001100110011	120
11000000010000000100000001000000	30
00001100100011001111111111111111	120
00010011010111110001001100010011	60
01011111010101011101111111011101	60
11101110111111111110111011101111	60
00010001111111110001000100011111	60
11111111000011111111111100001101	60
00001111000001001111111101000100	60
11111011111110111111111111111011	60
11111110101010101111111111111111	60
00000000010000000000000011000000	30
00100000000000000011000000110000	60
00000101000000000000110100000000	120
00010101001111110001010100010101	60
10111111001100110000000000000000	120
01000000000000000101010101010101	20
10100000111011001111111111111111	60
01110101011101110000000000000000	120
00000000100010000000000010101000	120
00110011001100100000000000000000	20
10100000101000101111111111111111	60
00000000000000001000110011001100	60
00000000100010001111000011111000	60
11111110111110101100110000000000	30
01111111111111110011111111111111	20
00000011000010110000111100001111	60
11111111001100101111111100110000	60
01000101000001011100111100001111	30
11111111110011101111111111001111	60
11110011111100001111001111110001	60
00000000000000001111000010000000	60
00111111000101010000000000000000	60
00010011000100110001001100010001	60
01010101000000000111010100000000	60
11110000111110001111110011111100	120
00110000001100010000000000000000	60
00001111110111110000111111001111	120
11110111111111111111010111111111	60
11111111000000001111111100110001	60
11111111111111111011101011111010	30
00110000011101011111000011110101	30
01010101110111010101111111011111	60
00110000111111110001000011111111	120
00000000000000000100010001001100	60
01010000111100000100000011000000	30
10111111000000000011111100000000	30
01010101111111011111111111111111	30
01110011001100111111111100110011	120
00000101000000000001010100000000	60
10110000111111111011101111111111	60
11111111111111110000000011010000	120
11011111110111111101111111001100	30
00000000010101000000000001000100	30
11011101110011011111111111001111	60
00000101000001000000010100000101	30
00110001001100010011000100000000	60
00110010001100110010001000100010	120
10101111100011110000000000000000	60
11111111111111110101010100010101	60
01000100111111110100000011111111	60
10001000100010101100110011001111	60
10101010101011101111111111111111	60
11111111000000011111111100000101	30
01010101000000000101010100000100	60
00001111011111110111111101111111	15
00110000111100000001000001010000	60
00110011000100110011001100000000	60
00010000000100001111111100010000	60
10001000000000001000111100001111	10
11111101010101011111010101010101	60
00110011001100110000001000000000	60
00000000000000000000001000001010	30
10110011001100111011101100110011	60
00110001001100110000000000110011	120
00001010000010110000101100001011	60
11111111111111111101000000000000	60
11011101110101011100110011000000	60
01110111000000000111111100001111	30
11111111010101011111111101010111	20
00100000001000100000000000100010	60
11111101111101011100110000000000	60
11111111111100001111110111110000	60
11111011111110111111000011111011	60
10101111101010111010101110101011	60
11001000110000001111111111111111	60
00000000000000001111111111001101	30
01001100000000001111111111111111	30
11111111000010001111111100001010	120
01111111011111110111111101110111	30
11111111101010111111111111111111	30
01110111011100111111111111110011	30
00110000011101010000000001010101	30
01110111011101111111111111110111	30
11111111101010001111111111111111	60
00000101001101110000010111111111	30
00001110111111111110111011111111	30
00100010101000100011001111110011	120
11001101111111111100111111111111	60
11110111111100111111010111110000	60
11111111101010101111111110100010	60
10001010110011111010101011111111	60
00000000000000001100000011001000	120
11111111101010001111111111111100	60
11111111111100001111111101000000	120
00000000000000001110111011101010	60
00101010101010100010001000100010	60
11111111111111110000000001110000	60
01000101111111110000010111111111	60
10101010001010101010101010101010	20
00000000000000001010000010101000	120
00010001001100110011000100110011	60
10001100101011111000110010001100	120
00000011010101110000000001010101	30
00000000000010100000001000001010	60
11110011101100111111111110111011	60
11000000110000001111000011010000	120
00000010000000100000101000000010	120
11001100110011001100000001000000	120
00000000000100010000000000110001	60
11111111110011111111111110001111	60
10101010101011111010101010101110	30
10101010000000101010101000001010	60
01000100110001001100010011000100	60
00001111000011110000111100001011	20
11111010000000001111101100110011	30
11111010111110110000000000110011	30
00000000001100010000000000110000	60
01000100010001010100010001000100	60
11111111111101010111011101110101	60
00000100000001000000010000000000	30
00000000000000000000000011101100	30
11001101110011011100110100000000	30
00000000001000110000000000100010	60
00000000110111011111000011111101	120
11101110111011001110111011001100	60
11111000111111001111110011111100	60
00000000011101110000111101111111	30
11111111111111101111111111110000	30
10100000101000001010000010110011	10
11111111111111111101111111001111	60
01010111111111110000000011111111	60
00001100010011000000000000000000	30
00000000010101010000000001000000	30
11001100010001001111110011110100	120
00110010001100110000000000000000	60
11111111111111110101000001110000	60
00110011001100110000000000110010	60
11100000111000001110000011000000	60
11110101111101010111010111110101	60
00000101000001110000011100000111	60
11111111111111110001000011111111	60
10110011111100110011001100110011	60
11011111110111111101110111011111	120
01011111000111110101010100010001	120
10111010001100001111111100110000	120
10001000100010000000100000000000	60
00001111001011110000111111111111	120
00000000000011110000001000001111	60
01011101110111010101010111011101	120
11110000000000001000000000000000	30
11111111111101011111001111110001	60
00000000001110110000000000001010	60
11111111000000001111111111110100	120
01010000010100000100000001010000	60
01110111010101110101011101010111	60
00000000111000001110000011100000	30
00000010000000001010101010101010	60
00010101001111110101010111111111	10
10100000101000101111000011110011	60
00100011000000000011001100000000	60
11111111111111110001000100110001	120
00010001010100010101000101010001	60
11111111111110111111111111111111	10
00111111000000001011111110101010	60
11101010101010101110111010101010	60
10101011101110111010101010111011	120
00110111111111110000010100000101	30
10101000101000001010000010100000	20
11001110110011101100111000000000	60
11111111111111110000000000010000	20
00110010001100000011001000110010	120
00000000000011001010101010101110	60
01001111010001001100111111001100	60
10101010100010000000101000001000	60
00001111001111110000111100011111	60
11001100110011110100010001001111	60
00000000000000001010101110111011	60
00010101001111111111111111111111	15
11111111101010101111111110101011	10
11110101111111111111011111111111	30
11110011000000001010001000000000	60
11111111111111111000101000000000	60
00000000010101010000000001000101	30
11111111111111110011101111111111	60
00000000000000000011111100011111	120
01010101010100011111111111110011	30
00001110000011001110111011001100	30
11110000111111000101000011011100	120
01000101010001010100010101010101	60
00001101000000001101110100000000	60
10111011001100111011101110110011	120
00010101000000000001010100010101	60
11111111111111110101110100001100	60
11011100110011001111110011001100	30
11101110111111101111111011111110	30
11011111110011111101111111011111	120
00110000111111111011000011111111	120
10111111101111111010101010111111	60
00000111000001110000111100000111	60
11110101111101111111010111111111	60
11111111111111111111111100010101	30
01000101010101010000000000000000	60
00100000001000100010001000100010	60
11110000000000001111000000010000	20
11111111101000101111111110100000	120
00001011111111110000101100001011	120
00101010001000100010001000100010	60
11110101111100011111010111110101	60
11010101111111111100000011000000	30
11011101110111111101110111011101	60
11111111110111010101111101011101	60
11111111111111111111111111110111	10
00000000001000000011001100110011	60
00110011111100110111001111110011	60
11111101000000001111000000000000	120
01000000110000000101010111111111	30
00000000110011110000000011101111	120
00001111001111110000111100101111	30
11001101110011010000010111001101	60
00000111000001110000000000000111	60
01000000010001000100000001000000	120
00000101000001011100110100000101	30
00000000111111110000110111111111	60
00000001000011110000111100001111	30
11000100111101011111111111111111	60
11101010110000000000000000000000	15
00101111000000001010111100000000	60
10111011101111111010101010101010	60
10101010111011101010111011101110	60
11110111111100001111000011110000	30
11111111111111110100110011111111	60
00110000001100001011101000110000	60
10101010000000001011111100000000	60
11111111000010000000100000001000	30
11111111011101011111111101010101	60
11111110110011000000000000000000	60
11001111111111111000111110101111	60
10101110101010101010111110101010	120
00000000000000000011001100000010	60
11101110111000001110000011100000	30
11000100111101010000000011110101	60
00010001000111110001000111111111	30
00000011000100110000001100110011	60
00101010000010101010101000001010	60
01110101000000000000000000000000	60
11001111111011111100111111111111	120
01000000110000001100000011000000	10
11111111000011001111111110101110	60
01010101010111010101010101011111	60
10101010000010100010001000000010	60
11001100110011001000000010001000	120
00000000000000001111110010101000	15
00000001000000010000000100110011	15
10001010111111111000101010001010	120
00001010000011110000001000000011	60
11001100110011001111110011111101	60
00111011001110110011101100001010	60
00001110000000000000111100000000	60
01010101010111011111111111111111	30
00000000000010000000000011111111	60
00000000001010100000000000100010	120
00000000000000000101010101010100	10
00000011001100110000001100100011	60
10001100000000001000110010001100	60
00100011001000100000000000000000	120
10111111000011110000000000000000	120
00000000000000000010000011111111	60
11111111111111111111111101110000	30
10111111101011111011101110101010	60
01110111011101110101010101010111	60
00110011001100110011101111111111	120
01000100000000000100111100000000	60
00010101010101011111111111111111	20
11111100111110001111111111111010	60
00000000000100000101000001010000	60
00010101000100010000000000000000	120
11111111001000001111111100000000	20
00000000001100000000000010111010	60
00110011011100110000000001010000	60
01110101000000000111010101110101	120
11111111111111110000000011101100	60
01010101010101010000000001010100	60
10101011101010101010111110101111	120
11010000111100001100000011110000	120
00001100101011101010111010101110	60
00110010001100000011001100110011	60
00001111000000001101111111011101	120
11110111111100001111111111111111	60
11001100110011001111111011111100	60
00111111011111110011111100111111	30
10101111101111111010111110101111	60
00000011111111110000001010101010	30
00000000000010110000000000000000	60
00001010000010100000101000111011	20
11101110111011110000000000000000	30
11101110111010101111111111111111	60
00101010111111110000000011111111	30
00001100111111110000100010101010	60
01010101010101010101000000010000	120
11111111111111110000110001001100	60
00000000101010100010101010101010	60
00000101000011010000010100001111	120
00000000000000001100010000000000	60
11111111000000000100000000000000	60
11101100111111110000000011111111	60
11001100010011000100010001000100	120
11101111111011110000000011101111	60
10001000101010001010100010101000	60
11111111010101011111011101010101	60
00000000000000000100110011001100	20
10111011101100111111111111110011	60
11001100110011001000100010001100	30
11111111111111111011000011110000	60
11111111111111110111011101110011	60
00000011000000110000000100000011	30
11111100111111100000000000000000	60
00001111000011110000001100001011	120
11111111111111111101110001010000	60
11000000110010001100000011001100	120
00000000000000001011111110111011	120
10101110101011111111111111111111	120
00000000110100000000000000000000	60
00000000111111110000000011101010	30
11111111110101011111111111110101	120
01011101010111010101110111011101	60
00000010000000110000111100001111	120
00001111010011110100111101001111	60
00110011011101110011000001110101	30
01011101010111110101111101011111	60
10111111001111110000000000000000	30
10101010000000001111101100000000	120
01000100010001001111111101001111	120
00101111000000000011111100000000	120
01011111000000000001111100000000	120
00000000101010001010100010101000	30
11111101111111110000000000000000	30
00000000000000001111010011110000	60
11110111111101110000000011110111	60
10101111101011111010111010101111	60
00110000001100100000000000000000	120
11001111100011111100111111001111	60
00100011001100110000000000000000	60
00001111010111111100111111011111	60
11111010001100101010101000100010	60
00000000001000000000000010101010	120
00111111111111110111111111111111	10
11111100111111111111010011110101	60
11111111000100111111111100010001	120
11110000111100001111111011111100	60
01010101000000000000000100000000	60
00100010000000000011001000000000	120
01010000010100001101110001010000	60
01011111010101010001001100010001	120
10000000100000001000000011110000	30
00000000000000000001111100001111	60
00001111111111110000100011111111	60
01011111111111110100110011001100	10
10111111111111110011001111111111	60
10000000100010000000000000000000	20
00000000000000001100100010001000	60
11111111111111110011001000110000	60
11111111111111110101010100000001	60
10111011001110111011101100110011	120
11010000111111110101000011111111	60
11010101110101011111010111010101	120
11011111010101010000000000000000	120
10001000100011001100110011001100	60
01000000111111111111111111111111	30
00101111001011110010111110101111	60
11111111111111111101110111010000	60
00000111000001010111011101010101	60
00001101000000001111111111111111	120
11111111000000001110000000000000	60
01110000010100001111000001010000	60
11111111110111111100110011001100	60
11111111000000000101110100000000	120
00010001001100010101010111110101	60
00100000001100001010000011110000	60
00000000111111010000000011110000	120
01110011011101110111011101110111	60
01000100010001000100111101000100	60
10101110111111110000000000000000	120
11110101111111111100010011001100	30
01000100010001000100010011110100	60
00000000000000000101110111111111	60
00000000000000100000000011111111	60
01010000111111110111001111111111	60
11110010001000101111000000000000	30
11001100110011001100111011101110	60
00001111010011110101111101011111	120
11111111000000001111111100010000	20
11111010111100001111101111110011	30
00000010000010100010001010101010	15
01011111000000000111111100000000	30
11111010101010101111100010001000	30
11101110111011101110111010101110	60
01010101000100000000000000000000	120
00001100010111010000110000001100	60
11111100111111001111111111111110	30
00000000101010100000000010101011	20
00001111000010000000111100000000	20
01010101010100010101010100010001	60
10101011000000001011101100000000	60
00010001000100010001000000010001	30
00000111000001010000011100000111	120
00001111101011110000111100101111	120
00010000010100001111111111111111	60
11111111111111001111111111011100	60
11011111111111111100111111111111	60
01110111011101010000000000000000	60
00000000000000000000110001001100	60
00000000000000001100111101000101	60
00000000010100000011001101110011	30
10101000111111111111111111111111	30
00000000010111110000000001010111	120
11111111111111110100110000001100	120
11101111111011111111111111101111	60
00000000000000000010001000110010	60
00001110000000001111111111111111	60
00111111001100110001010100010001	120
00000000010101010000000001111111	60
11111111000000001111010000000000	60
11110010111111111111001111111111	120
11001111110011001101111111001100	60
01011101010111110000000000000000	120
10101010111110111010101010111011	60
00000101000001000000111100001100	30
01000000111100000100010011111111	120
00000000000000000000000010101110	60
00000000000000000101000000010000	60
01110111011101110111011111110111	30
01000100000000001100010000000000	60
11100000000000001111000000000000	30
10101011111111110000000011111111	60
11111111111111111010111110111111	30
11101111000000001110111111101111	60
11001101110011011100110111001111	60
10001100000011001010111100001111	60
00000000011101110000000001010111	120
11111111000000101111111100001111	120
11011100000000001111111111111111	120
11111111001000110000000000000000	120
11111111001100111111111100100000	60
00001111001111110000101000101010	30
00001000000000001010101010101010	60
11011111010111110101010101010101	60
11110010000000001111001100000000	120
11111111000000011111111100110011	60
11111111111111111100110111011101	30
01010101111101011101010111110101	120
01110000010100001111000011110000	60
00000000000000001111111100001101	120
00001110000010100000111100001010	120
11000000110000001100000011010101	10
10101111101011110000111110001111	120
11011100110111011111111111111111	120
11111111001100010011000100110001	60
01001100010111110000000001011111	30
10001000101010101000111110101111	60
11111111111101011111110111110101	60
10111111101111111011111100000000	30
01001111010011110100111100001111	60
10101010101000001110111011100000	60
01110111011101110011001101110011	120
10101110000011001010111010101110	120
00001111000011110000111000000000	60
00111111001011110000111100001111	60
00110111001101110111011100110111	120
00001011000000111011101100110011	30
10111011101100110000000000000000	60
00000000001101111111111111111111	60
11110011111110111111001111111111	120
00001101000011110000110000001100	60
00000000100000000000000000000000	5
00000000000000000000001110101011	60
00001111000000000000111100000010	60
00101111101011111010111110101111	20
00000000101010101010001010101010	120
00000000111011111110111111101111	30
11111111000000000111000000000000	60
11111011101010101111101010101010	120
00000000000000001000000010101010	60
00001111000011110100111111001111	60
11111010001100101111101011111010	30
00000000000000000000000011001101	30
11111111111111110000110010101110	60
11111100111100001111110111110000	60
10100000111100001110110011111100	120
00111111111111111011111111111111	20
10100000111011001010101011101110	120
11110011111100101111001011110010	60
01000000111100001100000011110000	60
00001111000011110000000000000100	60
11111111000001111111111100001111	20
10001100000000001100110000000000	30
10100000111000000000000000000000	60
00000011000000110000000000000001	30
11111111110111001111111111001100	30
01000101010001001111111111111111	120
01010101011101010000000000000000	60
11001100111111110000100000001010	120
